movie,34711
netflix,34004
good,31007
watch,6877
watching,2880
really,2640
watched,2633
like,1953
amp,1823
show,1750
need,1675
film,1599
bad,1575
pretty,1560
time,1502
horror,1234
love,1219
great,1209
new,1197
night,1066
know,1036
feel,1035
see,985
series,966
suggestion,928
got,926
seen,880
looking,872
tv,861
anyone,845
story,823
recommend,822
day,819
get,803
find,760
check,730
go,727
make,702
action,700
review,655
actually,652
last,642
best,626
look,624
want,623
right,616
thing,569
think,569
recommendation,565
well,558
